Cell line,TCGA classification,Tissue,Tissue sub-type,IC50,AUC
SU-DHL-10,DLBC,blood,B_cell_lymphoma,1.662681,0.928909
AMO-1,MM,blood,haematopoietic_neoplasm_other,1.712837,0.906032
MOLP-8,MM,blood,myeloma,1.774159,0.906217
GR-ST,ALL,blood,lymphoblastic_leukemia,1.788631,0.864967
MV-4-11,UNCLASSIFIED,blood,leukemia,1.806137,0.96932
SLVL,DLBC,blood,B_cell_lymphoma,1.887564,0.913351
BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,2.130909,0.974639
Ramos-2G6-4C10,UNCLASSIFIED,blood,Burkitt_lymphoma,2.237983,0.96791
ST486,UNCLASSIFIED,blood,Burkitt_lymphoma,2.316304,0.930732
BALL-1,UNCLASSIFIED,blood,B_cell_leukemia,2.32253,0.933019
KARPAS-422,DLBC,blood,B_cell_lymphoma,2.323339,0.912749
EB-3,UNCLASSIFIED,blood,Burkitt_lymphoma,2.41482,0.903552
KG-1,LAML,blood,acute_myeloid_leukaemia,2.575918,0.930195
KMS-12-BM,MM,blood,myeloma,2.613382,0.947081
DG-75,UNCLASSIFIED,blood,Burkitt_lymphoma,2.796864,0.911892
HAL-01,ALL,blood,lymphoblastic_leukemia,2.891782,0.948936
BC-1,DLBC,blood,B_cell_lymphoma,2.997188,0.945558
RPMI-8402,ALL,blood,lymphoblastic_T_cell_leukaemia,3.14813,0.951443
A3-KAW,DLBC,blood,B_cell_lymphoma,3.361813,0.960932
SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,3.382809,0.960235
Hs-445,UNCLASSIFIED,blood,Hodgkin_lymphoma,3.404573,0.935771
OPM-2,MM,blood,myeloma,3.414077,0.967802
Daudi,UNCLASSIFIED,blood,Burkitt_lymphoma,3.501192,0.963339
YT,ALL,blood,lymphoid_neoplasm_other,3.503018,0.960622
KARPAS-231,UNCLASSIFIED,blood,B_cell_leukemia,3.72723,0.985926
Jurkat,ALL,blood,T_cell_leukemia,3.771272,0.960059
OCI-AML2,LAML,blood,acute_myeloid_leukaemia,3.831252,0.976757
LOUCY,ALL,blood,lymphoblastic_T_cell_leukaemia,3.871593,0.959105
ML-2,LAML,blood,acute_myeloid_leukaemia,4.116412,0.967539
RPMI-8226,MM,blood,myeloma,4.124123,0.960956
LC4-1,ALL,blood,lymphoblastic_leukemia,4.20831,0.959027
ATN-1,ALL,blood,lymphoblastic_T_cell_leukaemia,4.210775,0.970833
KE-37,ALL,blood,lymphoblastic_leukemia,4.216876,0.971759
OCI-M1,LAML,blood,acute_myeloid_leukaemia,4.220368,0.96059
RS4-11,ALL,blood,leukemia,4.3455,0.963521
DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,4.43436,0.969822
MOLT-16,ALL,blood,lymphoblastic_T_cell_leukaemia,4.557573,0.986637
U-266,MM,blood,myeloma,4.791594,0.945279
DND-41,ALL,blood,T_cell_leukemia,4.793173,0.973836
ALL-PO,ALL,blood,lymphoblastic_leukemia,4.885063,0.964057
HC-1,UNCLASSIFIED,blood,hairy_cell_leukaemia,4.936593,0.97348
DB,DLBC,blood,B_cell_lymphoma,5.095179,0.951108
KOPN-8,UNCLASSIFIED,blood,B_cell_leukemia,5.173537,0.973804
L-363,MM,blood,myeloma,5.254874,0.970862
KARPAS-299,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,5.611655,0.966206
REH,UNCLASSIFIED,blood,B_cell_leukemia,5.640947,0.978721
SCC-3,DLBC,blood,B_cell_lymphoma,5.702879,0.976506
TUR,DLBC,blood,B_cell_lymphoma,5.781093,0.985988
Raji,UNCLASSIFIED,blood,Burkitt_lymphoma,6.012652,0.973389
SUP-M2,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,6.137198,0.993232
IM-9,MM,blood,myeloma,6.256319,0.985174
P31-FUJ,LAML,blood,acute_myeloid_leukaemia,6.453579,0.959624
P12-ICHIKAWA,ALL,blood,lymphoblastic_T_cell_leukaemia,6.496887,0.973047
L-540,UNCLASSIFIED,blood,Hodgkin_lymphoma,7.449537,0.978729
KARPAS-620,MM,blood,haematopoietic_neoplasm_other,8.097252,0.971923
SU-DHL-8,DLBC,blood,B_cell_lymphoma,8.238631,0.998065
L-1236,UNCLASSIFIED,blood,Hodgkin_lymphoma,8.299938,0.975364
MHH-PREB-1,UNCLASSIFIED,blood,B_cell_leukemia,8.536836,0.977561
HDLM-2,UNCLASSIFIED,blood,Hodgkin_lymphoma,9.019532,0.966924
CCRF-CEM,ALL,blood,lymphoblastic_leukemia,9.025769,0.99204
OCI-AML5,LAML,blood,acute_myeloid_leukaemia,9.139185,0.989696
HL-60,LAML,blood,acute_myeloid_leukaemia,9.85046,0.978826
Mo-T,UNCLASSIFIED,blood,hairy_cell_leukaemia,10.09591,0.968902
EJM,MM,blood,lymphoid_neoplasm_other,10.288602,0.973358
HH,UNCLASSIFIED,blood,T_cell_leukemia,11.657173,0.963485
OCI-AML3,LAML,blood,acute_myeloid_leukaemia,12.172053,0.977473
JJN-3,MM,blood,haematopoietic_neoplasm_other,12.713962,0.99477
KY821,LAML,blood,leukemia,14.55861,0.991192
NOMO-1,LAML,blood,acute_myeloid_leukaemia,14.607493,0.984524
MN-60,UNCLASSIFIED,blood,B_cell_leukemia,15.380567,0.964827
H9,UNCLASSIFIED,blood,lymphoid_neoplasm_other,15.782777,0.99067
MM1S,MM,blood,myeloma,16.027728,0.994282
SK-MM-2,MM,blood,myeloma,16.077939,0.981684
MHH-CALL-2,UNCLASSIFIED,blood,B_cell_leukemia,16.329137,0.988668
MOLT-13,ALL,blood,lymphoblastic_T_cell_leukaemia,16.97328,0.990667
MC-CAR,MM,blood,haematopoietic_neoplasm_other,17.248464,0.991324
TK,DLBC,blood,B_cell_lymphoma,19.942914,0.993388
L-428,UNCLASSIFIED,blood,Hodgkin_lymphoma,19.959258,0.989656
MOLT-4,ALL,blood,lymphoblastic_leukemia,20.580865,0.993583
ME-1,LAML,blood,acute_myeloid_leukaemia,20.720263,0.990239
GRANTA-519,DLBC,blood,B_cell_lymphoma,22.696847,0.971753
RC-K8,DLBC,blood,B_cell_lymphoma,22.926259,0.978833
KMOE-2,LAML,blood,acute_myeloid_leukaemia,24.032144,0.991196
JSC-1,DLBC,blood,B_cell_lymphoma,26.075334,0.990197
KM-H2,UNCLASSIFIED,blood,Hodgkin_lymphoma,27.909184,0.990166
SUP-HD1,UNCLASSIFIED,blood,Hodgkin_lymphoma,65.68428,0.986534
HD-MY-Z,UNCLASSIFIED,blood,Hodgkin_lymphoma,331.105063,0.964863
MY-M12,ALL,blood,leukemia,0.002169,0.072255
Farage,DLBC,blood,B_cell_lymphoma,0.006621,0.118982
SU-DHL-16,DLBC,blood,B_cell_lymphoma,0.008092,0.113141
NU-DUL-1,DLBC,blood,B_cell_lymphoma,0.021765,0.278674
DOHH-2,DLBC,blood,B_cell_lymphoma,0.022222,0.290296
SU-DHL-4,DLBC,blood,B_cell_lymphoma,0.032409,0.337459
NK-92MI,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.091185,0.521925
QIMR-WIL,LAML,blood,acute_myeloid_leukaemia,0.45334,0.759749
JM1,DLBC,blood,B_cell_lymphoma,1.026409,0.886527
OCI-LY-19,DLBC,blood,B_cell_lymphoma,1.070966,0.877585
EHEB,CLL,blood,lymphoid_neoplasm_other,1.13804,0.818339
SIG-M5,LAML,blood,acute_myeloid_leukaemia,2.204837,0.972839
CTB-1,DLBC,blood,B_cell_lymphoma,3.386785,0.897017
LP-1,MM,blood,myeloma,3.773055,0.973931
BC-3,DLBC,blood,B_cell_lymphoma,3.837508,0.970819
SKM-1,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,4.252744,0.936418
HEL,LAML,blood,acute_myeloid_leukaemia,4.709632,0.980173
SU-DHL-1,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,5.906456,0.990569
NB4,LAML,blood,acute_myeloid_leukaemia,6.964049,0.990144
HT,DLBC,blood,B_cell_lymphoma,7.481744,0.976732
CMK,LAML,blood,acute_myeloid_leukaemia,8.47658,0.9909
ROS-50,UNCLASSIFIED,blood,B_cell_leukemia,8.875851,0.955979
THP-1,LAML,blood,acute_myeloid_leukaemia,9.072891,0.986388
KASUMI-1,LAML,blood,acute_myeloid_leukaemia,12.871829,0.979712
TALL-1,ALL,blood,lymphoblastic_T_cell_leukaemia,13.709698,0.987785
RL,DLBC,blood,B_cell_lymphoma,15.659722,0.988218
PL-21,LAML,blood,acute_myeloid_leukaemia,24.625526,0.978927
