"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
H9,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.094017,0.555378
CADO-ES1,UNCLASSIFIED,bone,ewings_sarcoma,0.096055,0.557353
WIL2-NS,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.096834,0.559402
Hs-445,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.097818,0.558579
MOLM-13,LAML,blood,acute_myeloid_leukaemia,0.106213,0.573425
TK,DLBC,blood,B_cell_lymphoma,0.107513,0.574273
EW-7,UNCLASSIFIED,bone,ewings_sarcoma,0.114327,0.579861
JVM-3,CLL,blood,lymphoid_neoplasm_other,0.117562,0.583451
MLMA,UNCLASSIFIED,blood,hairy_cell_leukaemia,0.121005,0.588979
CESS,LAML,blood,acute_myeloid_leukaemia,0.122155,0.587291
ES8,UNCLASSIFIED,bone,ewings_sarcoma,0.126125,0.595606
KCL-22,LCML,blood,chronic_myeloid_leukaemia,0.129889,0.598439
ATN-1,ALL,blood,lymphoblastic_T_cell_leukaemia,0.132521,0.604928
EM-2,LCML,blood,chronic_myeloid_leukaemia,0.134118,0.601897
RS4-11,ALL,blood,leukemia,0.134728,0.605555
SNU-175,COREAD,digestive_system,large_intestine,0.139824,0.603766
GA-10,UNCLASSIFIED,blood,Burkitt_lymphoma,0.139827,0.609112
HSC-39,STAD,digestive_system,stomach,0.140930,0.613431
GRANTA-519,DLBC,blood,B_cell_lymphoma,0.143337,0.599913
GDM-1,LAML,blood,acute_myeloid_leukaemia,0.147086,0.606020
NCI-H211,SCLC,lung,lung_small_cell_carcinoma,0.147726,0.609732
JSC-1,DLBC,blood,B_cell_lymphoma,0.148212,0.614782
Jurkat,ALL,blood,T_cell_leukemia,0.151738,0.622498
MC-CAR,MM,blood,haematopoietic_neoplasm_other,0.153455,0.623080
OCI-AML2,LAML,blood,acute_myeloid_leukaemia,0.155637,0.629140
NCI-H2023,LUAD,lung,lung_NSCLC_adenocarcinoma,0.156359,0.607127
HCT-116,COREAD,digestive_system,large_intestine,0.157770,0.625081
DND-41,ALL,blood,T_cell_leukemia,0.167586,0.637592
CAL-148,BRCA,breast,breast,0.167868,0.624469
DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.169259,0.638580
EW-22,UNCLASSIFIED,bone,ewings_sarcoma,0.177138,0.633877
A3-KAW,DLBC,blood,B_cell_lymphoma,0.179030,0.646853
HSC-3,HNSC,aero_digestive_tract,head_and_neck,0.186498,0.636244
DU-4475,BRCA,breast,breast,0.195276,0.659527
IM-9,MM,blood,myeloma,0.195991,0.660811
EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,0.197191,0.660364
COLO-320-HSR,COREAD,digestive_system,large_intestine,0.205193,0.658161
WM793B,SKCM,skin,melanoma,0.206538,0.649986
BE-13,ALL,blood,lymphoblastic_leukemia,0.208358,0.660537
NCI-H1155,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.208760,0.651138
MHH-CALL-2,UNCLASSIFIED,blood,B_cell_leukemia,0.209806,0.663764
D-283MED,MB,nervous_system,medulloblastoma,0.212682,0.664369
NKM-1,LAML,blood,acute_myeloid_leukaemia,0.229283,0.668659
RH-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.229773,0.679057
KU-19-19,BLCA,urogenital_system,bladder,0.229797,0.670449
SK-PN-DW,UNCLASSIFIED,bone,ewings_sarcoma,0.231178,0.675619
GR-ST,ALL,blood,lymphoblastic_leukemia,0.231305,0.654663
A673,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.232231,0.673569
C32,SKCM,skin,melanoma,0.234319,0.649602
KY821,LAML,blood,leukemia,0.239322,0.684720
KGN,UNCLASSIFIED,urogenital_system,ovary,0.240725,0.663631
OVCAR-8,OV,urogenital_system,ovary,0.243176,0.676328
A2780,UNCLASSIFIED,urogenital_system,ovary,0.245237,0.663548
SJRH30,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.259271,0.686141
ACHN,KIRC,kidney,kidney,0.264795,0.656949
Raji,UNCLASSIFIED,blood,Burkitt_lymphoma,0.265815,0.697526
A4-Fuk,DLBC,blood,B_cell_lymphoma,0.269001,0.701001
Hey,OV,urogenital_system,ovary,0.278386,0.654136
MOLT-13,ALL,blood,lymphoblastic_T_cell_leukaemia,0.283727,0.705086
A549,LUAD,lung,lung_NSCLC_adenocarcinoma,0.291322,0.675971
SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.292255,0.713644
GP5d,COREAD,digestive_system,large_intestine,0.295065,0.705563
G-401,UNCLASSIFIED,kidney,kidney,0.297157,0.678310
SBC-3,SCLC,lung,lung_small_cell_carcinoma,0.298808,0.700998
U-698-M,UNCLASSIFIED,blood,B_cell_leukemia,0.305021,0.711362
MSTO-211H,MESO,lung,mesothelioma,0.312686,0.681271
BFTC-905,BLCA,urogenital_system,bladder,0.313622,0.710061
TUR,DLBC,blood,B_cell_lymphoma,0.314543,0.727555
ST486,UNCLASSIFIED,blood,Burkitt_lymphoma,0.317140,0.719849
JVM-2,CLL,blood,lymphoid_neoplasm_other,0.318813,0.694568
ARH-77,MM,blood,myeloma,0.324127,0.720850
G-402,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.326953,0.699699
NB10,NB,nervous_system,neuroblastoma,0.328966,0.710767
SUP-M2,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,0.330927,0.737540
CAL-51,BRCA,breast,breast,0.338742,0.698410
IMR-5,NB,nervous_system,neuroblastoma,0.353702,0.738959
Hs-633T,UNCLASSIFIED,soft_tissue,fibrosarcoma,0.355453,0.734450
NCI-H847,SCLC,lung,lung_small_cell_carcinoma,0.381146,0.740739
L-428,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.391232,0.742052
LOUCY,ALL,blood,lymphoblastic_T_cell_leukaemia,0.394556,0.749165
NCI-H1623,LUAD,lung,lung_NSCLC_adenocarcinoma,0.400947,0.696241
SK-N-DZ,NB,nervous_system,neuroblastoma,0.403070,0.724152
SNU-1,STAD,digestive_system,stomach,0.411057,0.738421
KELLY,NB,nervous_system,neuroblastoma,0.411615,0.754387
IHH-4,THCA,thyroid,thyroid,0.421507,0.739139
WSU-DLCL2,DLBC,blood,B_cell_lymphoma,0.424755,0.753645
NCI-H209,SCLC,lung,lung_small_cell_carcinoma,0.430751,0.747588
CW-2,COREAD,digestive_system,large_intestine,0.434955,0.744267
MDST8,COREAD,digestive_system,large_intestine,0.451456,0.738262
KYSE-220,ESCA,aero_digestive_tract,oesophagus,0.463344,0.741903
M14,SKCM,skin,melanoma,0.482871,0.735143
A375,SKCM,skin,melanoma,0.490441,0.747408
SK-UT-1,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.496751,0.753318
TOV-112D,OV,urogenital_system,ovary,0.508229,0.761163
COR-L311,SCLC,lung,lung_small_cell_carcinoma,0.511672,0.776967
SAS,HNSC,aero_digestive_tract,head_and_neck,0.522286,0.754400
RKO,COREAD,digestive_system,large_intestine,0.534651,0.764056
MHH-PREB-1,UNCLASSIFIED,blood,B_cell_leukemia,0.553403,0.785159
H4,LGG,nervous_system,glioma,0.571499,0.778736
HARA,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.579694,0.771850
MOG-G-UVW,LGG,nervous_system,glioma,0.580365,0.781586
HCC1806,UNCLASSIFIED,breast,breast,0.582121,0.784766
MV-4-11,UNCLASSIFIED,blood,leukemia,0.585222,0.809613
SIMA,NB,nervous_system,neuroblastoma,0.604880,0.764878
EMC-BAC-2,LUAD,lung,lung_NSCLC_adenocarcinoma,0.606179,0.760903
8-MG-BA,GBM,nervous_system,glioma,0.620471,0.788424
DB,DLBC,blood,B_cell_lymphoma,0.621437,0.786848
BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,0.623355,0.829998
HCC2998,COREAD,digestive_system,large_intestine,0.623901,0.792202
NB14,NB,nervous_system,neuroblastoma,0.628243,0.799410
LoVo,COREAD,digestive_system,large_intestine,0.636028,0.753811
AGS,STAD,digestive_system,stomach,0.647628,0.788401
ES1,UNCLASSIFIED,bone,ewings_sarcoma,0.652770,0.787978
TC-YIK,UNCLASSIFIED,urogenital_system,cervix,0.656517,0.789708
NCI-H929,MM,blood,myeloma,0.659556,0.807602
SNU-16,STAD,digestive_system,stomach,0.667008,0.802657
NB69,NB,nervous_system,neuroblastoma,0.701955,0.785328
KARPAS-1106P,DLBC,blood,B_cell_lymphoma,0.704110,0.812235
SU-DHL-10,DLBC,blood,B_cell_lymphoma,0.719264,0.835098
NCI-H82,SCLC,lung,lung_small_cell_carcinoma,0.731840,0.831057
OC-314,OV,urogenital_system,ovary,0.760038,0.808538
MDA-MB-175-VII,BRCA,breast,breast,0.760076,0.718027
RPMI-6666,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.762818,0.811081
NCI-H1876,SCLC,lung,lung_small_cell_carcinoma,0.767349,0.799123
HSC-2,HNSC,aero_digestive_tract,head_and_neck,0.767428,0.821797
EW-16,UNCLASSIFIED,bone,ewings_sarcoma,0.781144,0.786407
MEG-01,LCML,blood,chronic_myeloid_leukaemia,0.783023,0.818646
BFTC-909,KIRC,kidney,kidney,0.788391,0.796070
VA-ES-BJ,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.789755,0.764103
PSN1,PAAD,pancreas,pancreas,0.790626,0.782082
CAL-62,THCA,thyroid,thyroid,0.840179,0.797337
NUGC-3,STAD,digestive_system,stomach,0.844463,0.780532
KG-1,LAML,blood,acute_myeloid_leukaemia,0.847465,0.830349
P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,0.869572,0.859726
HC-1,UNCLASSIFIED,blood,hairy_cell_leukaemia,0.875140,0.848491
SU-DHL-6,DLBC,blood,B_cell_lymphoma,0.878337,0.866688
MOLP-8,MM,blood,myeloma,0.894054,0.835511
NCI-H3118,UNCLASSIFIED,aero_digestive_tract,head_and_neck,0.899631,0.801676
NCI-H2228,LUAD,lung,lung_NSCLC_adenocarcinoma,0.915078,0.757800
YT,ALL,blood,lymphoid_neoplasm_other,0.922982,0.853833
KYM-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.965796,0.846824
AMO-1,MM,blood,haematopoietic_neoplasm_other,0.976044,0.846543
ESO26,ESCA,aero_digestive_tract,oesophagus,0.998711,0.820841
COLO-205,COREAD,digestive_system,large_intestine,1.001091,0.802509
SK-CO-1,COREAD,digestive_system,large_intestine,1.022729,0.820403
IST-SL2,SCLC,lung,lung_small_cell_carcinoma,1.029237,0.826863
WM35,SKCM,skin,melanoma,1.032492,0.810195
CHP-134,NB,nervous_system,neuroblastoma,1.046035,0.827707
ES7,UNCLASSIFIED,bone,ewings_sarcoma,1.048709,0.843086
HMV-II,SKCM,skin,melanoma,1.076488,0.802403
ES4,UNCLASSIFIED,bone,ewings_sarcoma,1.084789,0.796394
ES-2,UNCLASSIFIED,urogenital_system,ovary,1.087723,0.804843
BHT-101,THCA,thyroid,thyroid,1.088789,0.830817
SNU-5,STAD,digestive_system,stomach,1.091274,0.824300
LU-99A,UNCLASSIFIED,lung,lung_NSCLC_large_cell,1.092392,0.759269
23132-87,STAD,digestive_system,stomach,1.115486,0.814185
IGROV-1,OV,urogenital_system,ovary,1.119045,0.802522
SNU-398,LIHC,digestive_system,liver,1.123988,0.806502
SJSA-1,UNCLASSIFIED,bone,bone_other,1.131633,0.832343
LOXIMVI,SKCM,skin,melanoma,1.136396,0.840778
SBC-5,SCLC,lung,lung_small_cell_carcinoma,1.144373,0.854088
VM-CUB-1,BLCA,urogenital_system,bladder,1.153220,0.834747
A2058,SKCM,skin,melanoma,1.183507,0.872169
LB996-RCC,KIRC,kidney,kidney,1.186798,0.790694
PL18,PAAD,pancreas,pancreas,1.186839,0.803222
NCI-H322M,LUAD,lung,lung_NSCLC_adenocarcinoma,1.192846,0.797873
SW13,ACC,kidney,adrenal_gland,1.193043,0.854039
RPMI-7951,SKCM,skin,melanoma,1.194880,0.851441
CAL-33,HNSC,aero_digestive_tract,head_and_neck,1.209077,0.833115
JiyoyeP-2003,UNCLASSIFIED,blood,Burkitt_lymphoma,1.228785,0.855353
HL-60,LAML,blood,acute_myeloid_leukaemia,1.261583,0.867817
KYSE-140,ESCA,aero_digestive_tract,oesophagus,1.262966,0.841598
KP-N-YN,NB,nervous_system,neuroblastoma,1.280237,0.824638
CAL-54,KIRC,kidney,kidney,1.301786,0.803514
KARPAS-299,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,1.333846,0.875704
EC-GI-10,ESCA,aero_digestive_tract,oesophagus,1.335862,0.843510
NCI-H1944,LUAD,lung,lung_NSCLC_adenocarcinoma,1.345531,0.796970
IGR-37,SKCM,skin,melanoma,1.376311,0.869727
GOTO,NB,nervous_system,neuroblastoma,1.379469,0.837474
DOV13,OV,urogenital_system,ovary,1.384702,0.858824
LXF-289,LUAD,lung,lung_NSCLC_adenocarcinoma,1.385110,0.876731
Daoy,MB,nervous_system,medulloblastoma,1.415388,0.867391
ME-1,LAML,blood,acute_myeloid_leukaemia,1.422010,0.879189
CFPAC-1,PAAD,pancreas,pancreas,1.428410,0.804755
DAN-G,PAAD,pancreas,pancreas,1.432701,0.861772
NCI-H23,LUAD,lung,lung_NSCLC_adenocarcinoma,1.439350,0.854882
U-118-MG,GBM,nervous_system,glioma,1.440902,0.815006
TC-71,UNCLASSIFIED,bone,ewings_sarcoma,1.487505,0.888035
MN-60,UNCLASSIFIED,blood,B_cell_leukemia,1.508242,0.844632
BC-1,DLBC,blood,B_cell_lymphoma,1.530249,0.893395
WM1552C,SKCM,skin,melanoma,1.530405,0.862449
A101D,SKCM,skin,melanoma,1.555857,0.850213
OPM-2,MM,blood,myeloma,1.561188,0.913872
YH-13,GBM,nervous_system,glioma,1.571508,0.859558
EW-24,UNCLASSIFIED,bone,ewings_sarcoma,1.577618,0.826741
CA46,UNCLASSIFIED,blood,Burkitt_lymphoma,1.605583,0.859712
NCI-H1048,SCLC,lung,lung_small_cell_carcinoma,1.624237,0.861454
LNCaP-Clone-FGC,PRAD,urogenital_system,prostate,1.639782,0.830986
C-33-A,CESC,urogenital_system,cervix,1.653894,0.850035
EB2,UNCLASSIFIED,blood,Burkitt_lymphoma,1.667103,0.861919
MRK-nu-1,BRCA,breast,breast,1.687480,0.909176
AM-38,GBM,nervous_system,glioma,1.704855,0.871488
NCI-H2170,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,1.707674,0.855122
NOMO-1,LAML,blood,acute_myeloid_leukaemia,1.723214,0.891541
769-P,KIRC,kidney,kidney,1.769898,0.856516
KM12,COREAD,digestive_system,large_intestine,1.807964,0.861640
KM-H2,UNCLASSIFIED,blood,Hodgkin_lymphoma,1.822306,0.890713
HT-3,CESC,urogenital_system,cervix,1.828561,0.846025
SISO,CESC,urogenital_system,cervix,1.838544,0.853408
D-263MG,GBM,nervous_system,glioma,1.840292,0.866069
BICR22,HNSC,aero_digestive_tract,head_and_neck,1.863313,0.881001
MG-63,UNCLASSIFIED,bone,osteosarcoma,1.863533,0.853861
CL-40,COREAD,digestive_system,large_intestine,1.883997,0.854574
PA-1,UNCLASSIFIED,urogenital_system,ovary,1.893105,0.892626
MFH-ino,UNCLASSIFIED,soft_tissue,soft_tissue_other,1.893789,0.832224
Mo-T,UNCLASSIFIED,blood,hairy_cell_leukaemia,1.909390,0.884632
HOP-62,LUAD,lung,lung_NSCLC_adenocarcinoma,1.940436,0.849820
IST-MEL1,SKCM,skin,melanoma,2.003015,0.842259
MES-SA,UNCLASSIFIED,urogenital_system,uterus,2.033264,0.878462
DG-75,UNCLASSIFIED,blood,Burkitt_lymphoma,2.034392,0.882002
VCaP,PRAD,urogenital_system,prostate,2.064784,0.854408
PA-TU-8988T,PAAD,pancreas,pancreas,2.105864,0.851161
MHH-ES-1,UNCLASSIFIED,bone,ewings_sarcoma,2.111328,0.877531
L-540,UNCLASSIFIED,blood,Hodgkin_lymphoma,2.140800,0.920068
DMS-273,SCLC,lung,lung_small_cell_carcinoma,2.148503,0.898617
OVMIU,OV,urogenital_system,ovary,2.172043,0.829202
MKN45,STAD,digestive_system,stomach,2.200846,0.857628
OACM5-1,ESCA,aero_digestive_tract,oesophagus,2.211540,0.850796
CAPAN-1,PAAD,pancreas,pancreas,2.228357,0.845959
HCT-15,COREAD,digestive_system,large_intestine,2.237744,0.884659
NCI-H2373,MESO,lung,mesothelioma,2.251434,0.828386
NCI-H1781,LUAD,lung,lung_NSCLC_adenocarcinoma,2.304702,0.841606
NY,UNCLASSIFIED,bone,osteosarcoma,2.320763,0.893114
LS-180,COREAD,digestive_system,large_intestine,2.350572,0.862437
ESS-1,UNCLASSIFIED,urogenital_system,endometrium,2.372684,0.912085
A172,GBM,nervous_system,glioma,2.415699,0.889187
Detroit562,HNSC,aero_digestive_tract,head_and_neck,2.418437,0.900176
NTERA-2-cl-D1,UNCLASSIFIED,urogenital_system,testis,2.421300,0.892747
786-0,KIRC,kidney,kidney,2.423074,0.872235
TOV-21G,OV,urogenital_system,ovary,2.469679,0.861356
A204,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,2.474291,0.850696
OAW-42,OV,urogenital_system,ovary,2.478889,0.864069
OE33,ESCA,aero_digestive_tract,oesophagus,2.485078,0.868167
SNG-M,UCEC,urogenital_system,endometrium,2.489579,0.920986
KMS-12-BM,MM,blood,myeloma,2.499338,0.939065
NEC8,UNCLASSIFIED,urogenital_system,testis,2.555881,0.954216
PL4,PAAD,pancreas,pancreas,2.619689,0.862730
CAL-39,CESC,urogenital_system,cervix,2.688333,0.912204
SW620,COREAD,digestive_system,large_intestine,2.692304,0.865429
SK-N-AS,NB,nervous_system,neuroblastoma,2.719994,0.873837
T-T,ESCA,aero_digestive_tract,oesophagus,2.721360,0.914792
MDA-MB-231,BRCA,breast,breast,2.727883,0.906450
NB13,NB,nervous_system,neuroblastoma,2.729986,0.924546
U-87-MG,GBM,nervous_system,glioma,2.737122,0.879869
BB49-HNC,HNSC,aero_digestive_tract,head_and_neck,2.742579,0.870626
WM278,SKCM,skin,melanoma,2.752904,0.840285
DSH1,BLCA,urogenital_system,bladder,2.793616,0.886162
42-MG-BA,GBM,nervous_system,glioma,2.817187,0.894071
ETK-1,UNCLASSIFIED,digestive_system,biliary_tract,2.824552,0.880521
JHU-022,HNSC,aero_digestive_tract,head_and_neck,2.880324,0.841739
SK-MEL-2,SKCM,skin,melanoma,2.881080,0.935495
NCI-H2087,LUAD,lung,lung_NSCLC_adenocarcinoma,2.939758,0.873522
647-V,BLCA,urogenital_system,bladder,2.949828,0.900298
HGC-27,STAD,digestive_system,stomach,3.024145,0.927968
RERF-LC-Sq1,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,3.068658,0.879524
NCI-H1341,SCLC,lung,lung_small_cell_carcinoma,3.127671,0.872260
OCUM-1,STAD,digestive_system,stomach,3.133672,0.856145
U-266,MM,blood,myeloma,3.146585,0.918291
NCI-H3122,LUAD,lung,lung_NSCLC_adenocarcinoma,3.176713,0.877435
P31-FUJ,LAML,blood,acute_myeloid_leukaemia,3.183745,0.923093
NCI-H1581,UNCLASSIFIED,lung,lung_NSCLC_large_cell,3.195317,0.917214
G-361,SKCM,skin,melanoma,3.205717,0.910996
GI-1,LGG,nervous_system,glioma,3.213690,0.929753
COR-L88,SCLC,lung,lung_small_cell_carcinoma,3.218011,0.894310
LK-2,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,3.249850,0.886557
HuP-T4,PAAD,pancreas,pancreas,3.274358,0.896485
GAK,SKCM,skin,melanoma,3.302268,0.924376
C3A,LIHC,digestive_system,liver,3.305300,0.857585
HCC-44,LUAD,lung,lung_NSCLC_adenocarcinoma,3.328306,0.906586
FADU,HNSC,aero_digestive_tract,head_and_neck,3.360111,0.906668
LS-411N,COREAD,digestive_system,large_intestine,3.385347,0.893885
RC-K8,DLBC,blood,B_cell_lymphoma,3.419336,0.910941
KMRC-20,KIRC,kidney,kidney,3.428335,0.900595
H-EMC-SS,UNCLASSIFIED,bone,chondrosarcoma,3.443801,0.861300
KMRC-1,KIRC,kidney,kidney,3.450337,0.892576
GI-ME-N,NB,nervous_system,neuroblastoma,3.506826,0.873418
NCI-H1792,LUAD,lung,lung_NSCLC_adenocarcinoma,3.516094,0.941721
HCC-78,LUAD,lung,lung_NSCLC_adenocarcinoma,3.542815,0.872738
SK-LMS-1,UNCLASSIFIED,soft_tissue,soft_tissue_other,3.579457,0.912922
TE-5,ESCA,aero_digestive_tract,oesophagus,3.624286,0.890190
SNU-C5,COREAD,digestive_system,large_intestine,3.665535,0.888922
WM-115,SKCM,skin,melanoma,3.745987,0.895348
EW-11,UNCLASSIFIED,bone,ewings_sarcoma,3.794375,0.913196
SW1463,COREAD,digestive_system,large_intestine,3.839838,0.911863
L-1236,UNCLASSIFIED,blood,Hodgkin_lymphoma,3.919263,0.945810
FLO-1,ESCA,aero_digestive_tract,oesophagus,3.921449,0.906692
EVSA-T,BRCA,breast,breast,3.982357,0.951727
KP-4,PAAD,pancreas,pancreas,3.985829,0.915886
CAL-72,UNCLASSIFIED,bone,osteosarcoma,3.991314,0.905382
NCI-H446,SCLC,lung,lung_small_cell_carcinoma,4.022777,0.929818
SHP-77,SCLC,lung,lung_small_cell_carcinoma,4.032515,0.948076
TYK-nu,UNCLASSIFIED,urogenital_system,ovary,4.091596,0.873038
SW1783,LGG,nervous_system,glioma,4.098793,0.925817
RT-112,BLCA,urogenital_system,bladder,4.153309,0.920077
Daudi,UNCLASSIFIED,blood,Burkitt_lymphoma,4.157139,0.966933
K5,THCA,thyroid,thyroid,4.177407,0.923622
NCI-H1299,UNCLASSIFIED,lung,lung_NSCLC_large_cell,4.181212,0.909490
TGW,NB,nervous_system,neuroblastoma,4.211598,0.930950
MDA-MB-453,BRCA,breast,breast,4.260942,0.914566
ECC10,UNCLASSIFIED,digestive_system,stomach,4.297553,0.944451
CPC-N,SCLC,lung,lung_small_cell_carcinoma,4.318160,0.942789
NCI-H2122,LUAD,lung,lung_NSCLC_adenocarcinoma,4.358459,0.946239
MONO-MAC-6,LAML,blood,acute_myeloid_leukaemia,4.402683,0.953022
NCCIT,-,urogenital_system,testis,4.439862,0.945327
ESO51,ESCA,aero_digestive_tract,oesophagus,4.467224,0.891237
NCI-H1703,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,4.476178,0.911491
NCI-H2009,LUAD,lung,lung_NSCLC_adenocarcinoma,4.518208,0.921384
EB-3,UNCLASSIFIED,blood,Burkitt_lymphoma,4.532031,0.930021
KARPAS-422,DLBC,blood,B_cell_lymphoma,4.622041,0.942508
KP-1N,PAAD,pancreas,pancreas,4.645731,0.902010
LC-1-sq,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,4.669264,0.916576
SK-MES-1,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,4.692345,0.909628
Calu-6,LUAD,lung,lung_NSCLC_adenocarcinoma,4.708272,0.887003
HSC-4,HNSC,aero_digestive_tract,head_and_neck,4.739104,0.934887
BICR10,HNSC,aero_digestive_tract,head_and_neck,4.768938,0.901406
KYSE-270,ESCA,aero_digestive_tract,oesophagus,4.841014,0.935301
PWR-1E,PRAD,urogenital_system,prostate,4.969262,0.941614
OCI-AML3,LAML,blood,acute_myeloid_leukaemia,5.007405,0.947408
IGR-1,SKCM,skin,melanoma,5.040635,0.941841
TGBC11TKB,STAD,digestive_system,stomach,5.071580,0.934230
RL95-2,UNCLASSIFIED,urogenital_system,endometrium,5.108289,0.932074
SF539,LGG,nervous_system,glioma,5.119161,0.954438
ES6,UNCLASSIFIED,bone,ewings_sarcoma,5.133487,0.897797
EJM,MM,blood,lymphoid_neoplasm_other,5.174642,0.948019
OSC-20,HNSC,aero_digestive_tract,head_and_neck,5.248690,0.896641
LCLC-97TM1,UNCLASSIFIED,lung,lung_NSCLC_large_cell,5.266011,0.937952
DiFi,COREAD,digestive_system,large_intestine,5.294932,0.916168
KNS-62,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,5.339509,0.926938
SK-MEL-24,SKCM,skin,melanoma,5.376628,0.911283
HDLM-2,UNCLASSIFIED,blood,Hodgkin_lymphoma,5.424736,0.945698
NCI-H1694,SCLC,lung,lung_small_cell_carcinoma,5.447441,0.935592
KARPAS-45,ALL,blood,lymphoblastic_leukemia,5.573661,0.973347
COLO-679,SKCM,skin,melanoma,5.623612,0.920652
GAMG,LGG,nervous_system,glioma,5.680246,0.944793
